SERIES TITLE,SUBSERIES TITLE,Institution,Location,subseries - date - single,subseries - date - range,FILE TITLE,Physical description - type,physical description - extent,physical description - dimensions,LINK,date type,date - single,date - range
Published audiorecordings,"Camp Akiba: Reeders, Pennsylvania",Camp Akiba,"Reeders, Pennsylvania",,,Camp Akiba,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref8,,,
Published audiorecordings,"Camp Akiba: Reeders, Pennsylvania",Camp Akiba,"Reeders, Pennsylvania",,,Camp Akiba,Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref9,creation,1965,1965/1965
Published audiorecordings,"Camp Akiba: Reeders, Pennsylvania",Camp Akiba,"Reeders, Pennsylvania",,,Camp Akiba,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref10,creation,1966,1966/1966
Published audiorecordings,"Camp Akiba: Reeders, Pennsylvania",Camp Akiba,"Reeders, Pennsylvania",,,Camp Akiba,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref11,creation,1967,1967/1967
Published audiorecordings,"Camp Akiba: Reeders, Pennsylvania",Camp Akiba,"Reeders, Pennsylvania",,,Camp Akiba,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref12,creation,1968,1968/1968
Published audiorecordings,"Camp Akiba: Reeders, Pennsylvania",Camp Akiba,"Reeders, Pennsylvania",,,Camp Akiba,Sound discs (vinyl),1 Sound discs (vinyl),"12""",,creation,1969,1969/1969
Published audiorecordings,"Camp Akiba: Reeders, Pennsylvania",Camp Akiba,"Reeders, Pennsylvania",,,Camp Akiba,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref14,creation,1970,1970/1970
Published audiorecordings,"Camp Akiba: Reeders, Pennsylvania",Camp Akiba,"Reeders, Pennsylvania",,,Camp Akiba,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref510,creation,1971,1971/1971
Published audiorecordings,"Camp Allegro in the Berkshires: Pittsfield, Massachusetts",Camp Allegro in the Berkshires,"Pittsfield, Massachusetts",,,The Sound of Allegro,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref511,creation,1967,1967/1967
Published audiorecordings,"Camp Allegro in the Berkshires: Pittsfield, Massachusetts",Camp Allegro in the Berkshires,"Pittsfield, Massachusetts",,,The Sound of Allegro,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref16,creation,1968,1968/1968
Published audiorecordings,"Camp Allegro in the Berkshires: Pittsfield, Massachusetts",Camp Allegro in the Berkshires,"Pittsfield, Massachusetts",,,Sounds of Allegro,Sound cassettes,2 Sound cassettes,"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref17,creation,1969,1969/1969
Published audiorecordings,"Camp Allegro in the Berkshires: Pittsfield, Massachusetts",Camp Allegro in the Berkshires,"Pittsfield, Massachusetts",,,"""Of Thee We Sing, Allegro""",Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref18,creation,1970,
Published audiorecordings,Alma Mater Recording Company,Alma Mater Recording Company,,,,Bugle Calls,Sound discs (vinyl),1 Sound discs (vinyl),,https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref20,,,
Published audiorecordings,Alma Mater Recording Company,Alma Mater Recording Company,,,,Bugle Calls,Sound cassettes,1 Sound cassette,,,creation,1984,1984/1984
Published audiorecordings,"Belvoir Terrace: Lenox, Massachusetts",Belvoir Terrace,"Lenox, Massachusetts",,,Belvoir Terrace,Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref23,,,
Published audiorecordings,"Belvoir Terrace: Lenox, Massachusetts",Belvoir Terrace,"Lenox, Massachusetts",,,,,,,,,,
Published audiorecordings,"Benjamin Franklin High School: New York City, New York",Benjamin Franklin High School,"New York City, New York",,,The Benjamin Franklin High School Chorus Sings Out,Sound discs (vinyl),2 Sound discs (vinyl),"7""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref25,,,
Published audiorecordings,"Benjamin Franklin High School: New York City, New York",Benjamin Franklin High School,"New York City, New York",,,,,,,,,,
Published audiorecordings,"Camp Birchwood: Brandon, Vermont",Camp Birchwood,"Brandon, Vermont",,,Camp Birchwood,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref27,,,
Published audiorecordings,"Camp Birchwood: Brandon, Vermont",Camp Birchwood,"Brandon, Vermont",,,Camp Birchwood,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref28,creation,1961,1961/1961
Published audiorecordings,"Camp Birchwood: Brandon, Vermont",Camp Birchwood,"Brandon, Vermont",,,"Birchwood Camp for Girls: Brandon, Vermont",Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref30,creation,1963,1963/1963
Published audiorecordings,"Blue Star Camps: Hendersonville, North Carolina",Blue Star Camps,"Hendersonville, North Carolina",,,"""We've Got That BLUE STAR SPIRIT!""",Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref32,creation,1963,1963/1963
Published audiorecordings,"Blue Star Camps: Hendersonville, North Carolina",Blue Star Camps,"Hendersonville, North Carolina",,,"""Get-Together"" in the year of MOON LANDING",Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref33,creation,1969,1969/1969
Published audiorecordings,"Blue Star Camps: Hendersonville, North Carolina",Blue Star Camps,"Hendersonville, North Carolina",,,Blue Star Camps In The Year of Our Nation's 200th Birthday,Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref34,creation,1976,1976/1976
Published audiorecordings,"Blue Star Camps: Hendersonville, North Carolina",Blue Star Camps,"Hendersonville, North Carolina",,,Blue Star Camps salute the International Year of the Child,Sound discs (vinyl),1 Sound discs (vinyl),,https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref35,creation,1979,1979/1979
Published audiorecordings,"Blue Star Camps: Hendersonville, North Carolina",Blue Star Camps,"Hendersonville, North Carolina",,,Blue Star's Seven Camps Proudly Present Their 1982 Recording 'Home Away From Home',Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref36,creation,1982,1982/1982
Published audiorecordings,"Blue Star Camps: Hendersonville, North Carolina",Blue Star Camps,"Hendersonville, North Carolina",,,Camp Blue Star,Sound cassettes,1 Sound cassette,,,creation,1984,1984/1984
Published audiorecordings,"Blue Star Camps: Hendersonville, North Carolina",Blue Star Camps,"Hendersonville, North Carolina",,,Camp Blue Star,Sound cassettes,1 Sound cassette,,,creation,1986,1986/1986
Published audiorecordings,"Camp Conestoga for Boys: Minerva, Ohio",Camp Conestoga for Boys,"Minerva, Ohio",,,Light From a Conestoga Campfire,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref40,,,
Published audiorecordings,"Camp Conestoga for Boys: Minerva, Ohio",Camp Conestoga for Boys,"Minerva, Ohio",,,,,,,,,,
Published audiorecordings,"Hunter College High School: New York, New York",Hunter College High School,"New York, New York",,,The Senior Sing,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref42,creation,Recorded 1964 March 20,1964/1964
Published audiorecordings,"Hunter College High School: New York, New York",Hunter College High School,"New York, New York",,,The Senior Sing of '65,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref43,creation,1965,1965/1965
Published audiorecordings,"Hunter College High School: New York, New York",Hunter College High School,"New York, New York",,,'66 Senior Sing,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref44,creation,1966,1966/1966
Published audiorecordings,"Hunter College High School: New York, New York",Hunter College High School,"New York, New York",,,Senior Sing '67,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref45,creation,1967,1967/1967
Published audiorecordings,"Hunter College High School: New York, New York",Hunter College High School,"New York, New York",,,The Senior Sing of 1968,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref46,creation,1968,1968/1968
Published audiorecordings,"Indian Head Camps Inc.: Lookout, Pennsylvania",Indian Head Camps Inc.,"Lookout, Pennsylvania",,,Indian Head Camp Sings,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref48,,,
Published audiorecordings,"Indian Head Camps Inc.: Lookout, Pennsylvania",Indian Head Camps Inc.,"Lookout, Pennsylvania",,,Indian Head Camp Sings,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref49,creation,1966,1966/1966
Published audiorecordings,"Indian Head Camps Inc.: Lookout, Pennsylvania",Indian Head Camps Inc.,"Lookout, Pennsylvania",,,Indian Head Camp Sings,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref50,creation,1974,1974/1974
Published audiorecordings,"James Monroe High School: Bronx, New York",James Monroe High School,"Bronx, New York",,,Monroe Memoirs,Sound discs (vinyl),1 Sound discs (vinyl),"7""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref52,creation,1964,1964/1964
Published audiorecordings,"James Monroe High School: Bronx, New York",James Monroe High School,"Bronx, New York",,,Monroe Memoirs: The Senior Class of 1965 Presents The Sweetest Sounds,Sound discs (vinyl),1 Sound discs (vinyl),"7""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref53,creation,1965,1965/1965
Published audiorecordings,"James Monroe High School: Bronx, New York",James Monroe High School,"Bronx, New York",,,"Monroe Memoirs: The Senior Class of 1966 Presents ""Try to Remember""",Sound discs (vinyl),1 Sound discs (vinyl),"7""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref54,creation,1966,1966/1966
Published audiorecordings,"James Monroe High School: Bronx, New York",James Monroe High School,"Bronx, New York",,,"Monroe Memoirs: The Senior Class of 1967 Presents ""A Place for Us""",Sound discs (vinyl),1 Sound discs (vinyl),"7""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref55,creation,1967,1967/1967
Published audiorecordings,"Jayson Camps: Lake Garfield, Monterey, Massachusetts",Jayson Camps,"Lake Garfield, Monterey, Massachusetts",,,The Jayson Camps / Monterey For Boys / Owaissa For Girls,Sound discs (vinyl),2 Sound discs (vinyl),,https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref57,creation,1963,
Published audiorecordings,"Jayson Camps: Lake Garfield, Monterey, Massachusetts",Jayson Camps,"Lake Garfield, Monterey, Massachusetts",,,1964 at Camp Owaissa / Happy Days at Monterey,Sound discs (vinyl),2 Sound discs (vinyl),,https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref58,creation,1964,1964/1964
Published audiorecordings,"Jayson Camps: Lake Garfield, Monterey, Massachusetts",Jayson Camps,"Lake Garfield, Monterey, Massachusetts",,,Reflections at Owaissa / Happy Days at Monterey,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref59,creation,1965,1965/1965
Published audiorecordings,"Jayson Camps: Lake Garfield, Monterey, Massachusetts",Jayson Camps,"Lake Garfield, Monterey, Massachusetts",,,Camp Owaissa,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref60,creation,1966,1966/1966
Published audiorecordings,"Jayson Camps: Lake Garfield, Monterey, Massachusetts",Jayson Camps,"Lake Garfield, Monterey, Massachusetts",,,Camp Owaissa,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref61,creation,1967,1967/1967
Published audiorecordings,"Jayson Camps: Lake Garfield, Monterey, Massachusetts",Jayson Camps,"Lake Garfield, Monterey, Massachusetts",,,Owaissa,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref62,creation,1968,1968/1968
Published audiorecordings,"Camp Jeanne d'Arc: Merrill, New York",Camp Jeanne d'Arc,"Merrill, New York",,,A Tribute in Song and Story,Sound discs (vinyl),2 Sound discs (vinyl),"10""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref64,creation,1959,1959/1959
Published audiorecordings,"Camp Jeanne d'Arc: Merrill, New York",Camp Jeanne d'Arc,"Merrill, New York",,,The Song Story of Jeanne d'Arc,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref65,creation,1966,1966/1966
Published audiorecordings,"Joseph Pulitzer Junior High School 145: New York, New York",Joseph Pulitzer Junior High School 145,"New York, New York",,,Pulitzer -- 10th Spring Festival,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref67,,,
Published audiorecordings,"Joseph Pulitzer Junior High School 145: New York, New York",Joseph Pulitzer Junior High School 145,"New York, New York",,,,,,,,,,
Published audiorecordings,"Kee-Wah Camps: Wingdale, New York",Kee-Wah Camps,"Wingdale, New York",,,Kee-Wah Camps,Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref69,,,
Published audiorecordings,"Kee-Wah Camps: Wingdale, New York",Kee-Wah Camps,"Wingdale, New York",,,,,,,,,,
Published audiorecordings,"Ken-Wood Camp For Girls: Kent, Connecticut",Ken-Wood Camp For Girls,"Kent, Connecticut",,,Ken-Wood,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref71,creation,1969,1969/1969
Published audiorecordings,"Ken-Wood Camp For Girls: Kent, Connecticut",Ken-Wood Camp For Girls,"Kent, Connecticut",,,Ken-Wood,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref72,creation,1970,1970/1970
